Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLABB,Abbottsfield - Penny McKee Branch,5,Fifty shades of Grey / E.L. James,James E L,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLABB,Abbottsfield - Penny McKee Branch,6,The back of the turtle : a novel / Thomas King,King Thomas,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLABB,Abbottsfield - Penny McKee Branch,6,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Crash & burn : a novel / Lisa Gardner,Gardner Lisa,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=crash%20%26%20burn
EPLABB,Abbottsfield - Penny McKee Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLABB,Abbottsfield - Penny McKee Branch,4,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLABB,Abbottsfield - Penny McKee Branch,4,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLABB,Abbottsfield - Penny McKee Branch,4,Dead heat / Patricia Briggs,Briggs Patricia,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=dead%20heat%20/
EPLABB,Abbottsfield - Penny McKee Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLABB,Abbottsfield - Penny McKee Branch,6,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLABB,Abbottsfield - Penny McKee Branch,6,The back of the turtle : a novel / Thomas King,King Thomas,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLABB,Abbottsfield - Penny McKee Branch,6,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Fifty shades of Grey / E.L. James,James E L,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLABB,Abbottsfield - Penny McKee Branch,5,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Crash & burn : a novel / Lisa Gardner,Gardner Lisa,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=crash%20%26%20burn
EPLABB,Abbottsfield - Penny McKee Branch,5,Let's pretend this never happened : (a mostly true memoir) / Jenny Lawson,Lawson Jenny,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=let%27s%20pretend%20this
EPLABB,Abbottsfield - Penny McKee Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLABB,Abbottsfield - Penny McKee Branch,4,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLABB,Abbottsfield - Penny McKee Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLABB,Abbottsfield - Penny McKee Branch,4,Dead Heat  / by Patricia  Briggs,Briggs Patricia,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=dead%20heat%20/
EPLABB,Abbottsfield - Penny McKee Branch,4,Crash & burn : a novel / Lisa Gardner,Gardner Lisa,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=crash%20%26%20burn
EPLABB,Abbottsfield - Penny McKee Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLABB,Abbottsfield - Penny McKee Branch,5,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLABB,Abbottsfield - Penny McKee Branch,5,Gray Mountain / John Grisham,Grisham John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLABB,Abbottsfield - Penny McKee Branch,6,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLABB,Abbottsfield - Penny McKee Branch,6,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLABB,Abbottsfield - Penny McKee Branch,6,The back of the turtle : a novel / Thomas King,King Thomas,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLABB,Abbottsfield - Penny McKee Branch,6,Fifty shades of Grey / E.L. James,James E L,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLABB,Abbottsfield - Penny McKee Branch,6,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLABB,Abbottsfield - Penny McKee Branch,7,As chimney sweepers come to dust / Alan Bradley,Bradley C Alan,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLABB,Abbottsfield - Penny McKee Branch,6,Yes please / Amy Poehler,Poehler Amy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLABB,Abbottsfield - Penny McKee Branch,6,The back of the turtle : a novel / Thomas King,King Thomas,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLABB,Abbottsfield - Penny McKee Branch,6,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Fifty shades of Grey / E.L. James,James E L,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLABB,Abbottsfield - Penny McKee Branch,5,Gray Mountain / John Grisham,Grisham John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLABB,Abbottsfield - Penny McKee Branch,4,Revival : a novel / Stephen King,King Stephen,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=revival%20%3A%20a
EPLABB,Abbottsfield - Penny McKee Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLABB,Abbottsfield - Penny McKee Branch,4,The escape / David Baldacci,Baldacci David,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20escape%20/
EPLABB,Abbottsfield - Penny McKee Branch,7,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLABB,Abbottsfield - Penny McKee Branch,7,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLABB,Abbottsfield - Penny McKee Branch,6,Fifty shades of Grey / E.L. James,James E L,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLABB,Abbottsfield - Penny McKee Branch,6,Gray Mountain / John Grisham,Grisham John,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Yes please / Amy Poehler,Poehler Amy,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,The back of the turtle : a novel / Thomas King,King Thomas,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLABB,Abbottsfield - Penny McKee Branch,5,The escape / David Baldacci,Baldacci David,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20escape%20/
EPLABB,Abbottsfield - Penny McKee Branch,4,Revival : a novel / Stephen King,King Stephen,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=revival%20%3A%20a
EPLABB,Abbottsfield - Penny McKee Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLABB,Abbottsfield - Penny McKee Branch,4,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLABB,Abbottsfield - Penny McKee Branch,7,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLABB,Abbottsfield - Penny McKee Branch,7,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLABB,Abbottsfield - Penny McKee Branch,6,Gray Mountain / John Grisham,Grisham John,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLABB,Abbottsfield - Penny McKee Branch,6,Fit to kill / James Heneghan,Heneghan James,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fit%20to%20kill
EPLABB,Abbottsfield - Penny McKee Branch,5,Yes please / Amy Poehler,Poehler Amy,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,The back of the turtle : a novel / Thomas King,King Thomas,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLABB,Abbottsfield - Penny McKee Branch,5,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLABB,Abbottsfield - Penny McKee Branch,5,The escape / David Baldacci,Baldacci David,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20escape%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLABB,Abbottsfield - Penny McKee Branch,5,Liar  / by Nora  Roberts,Roberts Nora,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=liar%20/%20by
EPLABB,Abbottsfield - Penny McKee Branch,7,Gray Mountain / John Grisham,Grisham John,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLABB,Abbottsfield - Penny McKee Branch,4,Yes please / Amy Poehler,Poehler Amy,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLABB,Abbottsfield - Penny McKee Branch,5,Liar  / by Nora  Roberts,Roberts Nora,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=liar%20/%20by
EPLABB,Abbottsfield - Penny McKee Branch,4,Revival : a novel / Stephen King,King Stephen,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=revival%20%3A%20a
EPLABB,Abbottsfield - Penny McKee Branch,5,The back of the turtle : a novel / Thomas King,King Thomas,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLABB,Abbottsfield - Penny McKee Branch,5,The escape / David Baldacci,Baldacci David,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20escape%20/
EPLABB,Abbottsfield - Penny McKee Branch,6,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
