Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLCAL,Calder Branch,7,The maze runner / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,6,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,5,Hope to die / James Patterson,Patterson James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,5,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCAL,Calder Branch,5,The assassin / Clive Cussler and Justin Scott ; illustrations by Roland Dahlquist,Cussler Clive,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20assassin%20/
EPLCAL,Calder Branch,4,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL,Calder Branch,4,Private Vegas [large print] / James Patterson and Maxine Paetro,Patterson James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20%5Blarge
EPLCAL,Calder Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLCAL,Calder Branch,4,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,5,Heir  / by Kiera  Cass,Cass Kiera,04/27/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=heir%20/%20by
EPLCAL,Calder Branch,8,The maze runner / James Dashner,Dashner James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,6,Hope to die / James Patterson,Patterson James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,5,Obsession in death / J. D. Robb,Robb J D,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCAL,Calder Branch,5,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLCAL,Calder Branch,5,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,5,Double fudge brownie murder / Joanne Fluke,Fluke Joanne,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=double%20fudge%20brownie
EPLCAL,Calder Branch,4,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL,Calder Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLCAL,Calder Branch,4,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,4,What if? : serious scientific answers to absurd hypothetical questions / Randall Munroe,Munroe Randall,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=what%20if%3F%20%3A
EPLCAL,Calder Branch,4,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL,Calder Branch,5,Fifty shades of Grey / E.L. James,James E L,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLCAL,Calder Branch,5,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,5,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLCAL,Calder Branch,5,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLCAL,Calder Branch,6,Hope to die / James Patterson,Patterson James,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,6,Obsession in death / J. D. Robb,Robb J D,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCAL,Calder Branch,8,The maze runner / James Dashner,Dashner James,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,8,Hope to die / James Patterson,Patterson James,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,7,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLCAL,Calder Branch,7,The maze runner / James Dashner,Dashner James,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,5,Yes please / Amy Poehler,Poehler Amy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL,Calder Branch,5,Obsession in death / J. D. Robb,Robb J D,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCAL,Calder Branch,5,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,5,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLCAL,Calder Branch,5,Fifty shades of Grey / E.L. James,James E L,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLCAL,Calder Branch,4,Not my father's son : a memoir / Alan Cumming,Cumming Alan,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=not%20my%20father%27s
EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,8,Hope to die / James Patterson,Patterson James,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,7,The maze runner / James Dashner,Dashner James,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,6,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLCAL,Calder Branch,6,Yes please / Amy Poehler,Poehler Amy,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL,Calder Branch,6,Obsession in death / J. D. Robb,Robb J D,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCAL,Calder Branch,6,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLCAL,Calder Branch,5,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,5,Fifty shades of Grey / E.L. James,James E L,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLCAL,Calder Branch,5,Private India : city on fire / James Patterson and Ashwin Sanghi,Patterson James,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20india%20%3A
EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,8,The maze runner / James Dashner,Dashner James,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,9,The girl on the train / Paula Hawkins,Hawkins Paula,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,8,Hope to die / James Patterson,Patterson James,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,6,Yes please / Amy Poehler,Poehler Amy,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL,Calder Branch,6,Obsession In Death  / by J D Robb,Robb J D,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCAL,Calder Branch,6,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLCAL,Calder Branch,5,Shopaholic to the stars : a novel / Sophie Kinsella,Kinsella Sophie,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=shopaholic%20to%20the
EPLCAL,Calder Branch,5,Burn / James Patterson and Michael Ledwidge,Patterson James,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=burn%20/%20james
EPLCAL,Calder Branch,5,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,5,Private Vegas / James Patterson and Maxine Paetro,Patterson James,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20/
EPLCAL,Calder Branch,5,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLCAL,Calder Branch,5,Shopaholic to the stars : a novel / Sophie Kinsella,Kinsella Sophie,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=shopaholic%20to%20the
EPLCAL,Calder Branch,5,Burn / James Patterson and Michael Ledwidge,Patterson James,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=burn%20/%20james
EPLCAL,Calder Branch,6,Obsession In Death  / by J D Robb,Robb J D,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,6,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLCAL,Calder Branch,6,Yes please / Amy Poehler,Poehler Amy,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL,Calder Branch,5,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,9,Hope to die / James Patterson,Patterson James,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,8,The maze runner / James Dashner,Dashner James,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,4,Gray Mountain / John Grisham,Grisham John,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,4,Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,Hodges Andrew,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=alan%20turing%20%3A
EPLCAL,Calder Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLCAL,Calder Branch,4,Private Vegas [large print] / James Patterson and Maxine Paetro,Patterson James,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20%5Blarge
EPLCAL,Calder Branch,4,Yes please / Amy Poehler,Poehler Amy,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL,Calder Branch,5,The assassin / Clive Cussler and Justin Scott ; illustrations by Roland Dahlquist,Cussler Clive,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20assassin%20/
EPLCAL,Calder Branch,5,Hope to die / James Patterson,Patterson James,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,6,The maze runner / James Dashner,Dashner James,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,7,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,11,The girl on the train / Paula Hawkins,Hawkins Paula,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,4,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLCAL,Calder Branch,4,Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,Hodges Andrew,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=alan%20turing%20%3A
EPLCAL,Calder Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLCAL,Calder Branch,4,Private Vegas [large print] / James Patterson and Maxine Paetro,Patterson James,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20%5Blarge
EPLCAL,Calder Branch,4,Gray Mountain [large print] / John Grisham,Grisham John,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20%5Blarge
EPLCAL,Calder Branch,5,Liar  / by Nora  Roberts,Roberts Nora,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=liar%20/%20by
EPLCAL,Calder Branch,5,The maze runner / James Dashner,Dashner James,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,5,Hope to die / James Patterson,Patterson James,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,7,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,4,Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,Hodges Andrew,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=alan%20turing%20%3A
EPLCAL,Calder Branch,4,Shopaholic to the stars : a novel / Sophie Kinsella,Kinsella Sophie,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=shopaholic%20to%20the
EPLCAL,Calder Branch,4,Private Vegas [large print] / James Patterson and Maxine Paetro,Patterson James,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20%5Blarge
EPLCAL,Calder Branch,4,Gray Mountain [large print] / John Grisham,Grisham John,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20%5Blarge
EPLCAL,Calder Branch,5,Heir  / by Kiera  Cass,Cass Kiera,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=heir%20/%20by
EPLCAL,Calder Branch,5,Liar  / by Nora  Roberts,Roberts Nora,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=liar%20/%20by
EPLCAL,Calder Branch,5,The maze runner / James Dashner,Dashner James,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,5,Hope to die / James Patterson,Patterson James,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL,Calder Branch,7,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,4,The 20/20 diet : turn your weight loss vision into reality : 20 key foods to help you succeed where other diets fail / Phil McGraw,McGraw Phillip C,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%2020/20%20diet
EPLCAL,Calder Branch,4,Private Vegas [large print] / James Patterson and Maxine Paetro,Patterson James,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20%5Blarge
EPLCAL,Calder Branch,4,Gray Mountain [large print] / John Grisham,Grisham John,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20%5Blarge
EPLCAL,Calder Branch,5,Where she went / by Gayle Forman,Forman Gayle,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=where%20she%20went
EPLCAL,Calder Branch,5,Heir  / by Kiera  Cass,Cass Kiera,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=heir%20/%20by
EPLCAL,Calder Branch,5,Someone is watching : a novel / Joy Fielding,Fielding Joy,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=someone%20is%20watching
EPLCAL,Calder Branch,5,The maze runner / James Dashner,Dashner James,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,5,Walking Dead  / by Charlie  Adlard,Adlard Charlie,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=walking%20dead%20/
EPLCAL,Calder Branch,7,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,9,The girl on the train / Paula Hawkins,Hawkins Paula,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL,Calder Branch,4,Private Vegas / James Patterson and Maxine Paetro,Patterson James,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20/
EPLCAL,Calder Branch,4,Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,Hodges Andrew,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=alan%20turing%20%3A
EPLCAL,Calder Branch,4,Private Vegas [large print] / James Patterson and Maxine Paetro,Patterson James,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20%5Blarge
EPLCAL,Calder Branch,4,Gray Mountain [large print] / John Grisham,Grisham John,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20%5Blarge
EPLCAL,Calder Branch,5,Heir  / by Kiera  Cass,Cass Kiera,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=heir%20/%20by
EPLCAL,Calder Branch,5,The maze runner / James Dashner,Dashner James,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL,Calder Branch,5,Walking Dead  / by Charlie  Adlard,Adlard Charlie,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=walking%20dead%20/
EPLCAL,Calder Branch,6,Where she went / by Gayle Forman,Forman Gayle,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=where%20she%20went
EPLCAL,Calder Branch,8,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL,Calder Branch,9,The girl on the train / Paula Hawkins,Hawkins Paula,04/20/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
