Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLCSD,Castle Downs Branch,48,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCSD,Castle Downs Branch,23,Who can jump? / Sebastien Braun. --,Braun Sebastien,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=who%20can%20jump%3F
EPLCSD,Castle Downs Branch,22,The maze runner / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCSD,Castle Downs Branch,19,Silly Sally / by Audrey Wood,Wood Audrey,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=silly%20sally%20/
EPLCSD,Castle Downs Branch,17,Baby animal farm / Karen Blair. --,Blair Karen,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=baby%20animal%20farm
EPLCSD,Castle Downs Branch,17,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCSD,Castle Downs Branch,14,The husband's secret / Liane Moriarty,Moriarty Liane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLCSD,Castle Downs Branch,14,Big little lies / Liane Moriarty,Moriarty Liane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20little%20lies
EPLCSD,Castle Downs Branch,14,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCSD,Castle Downs Branch,13,Obsession in death / J. D. Robb,Robb J D,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCSD,Castle Downs Branch,47,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCSD,Castle Downs Branch,23,Who can jump? / Sebastien Braun. --,Braun Sebastien,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=who%20can%20jump%3F
EPLCSD,Castle Downs Branch,22,The maze runner / James Dashner,Dashner James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCSD,Castle Downs Branch,18,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCSD,Castle Downs Branch,17,Baby animal farm / Karen Blair. --,Blair Karen,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=baby%20animal%20farm
EPLCSD,Castle Downs Branch,17,Silly Sally / by Audrey Wood,Wood Audrey,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=silly%20sally%20/
EPLCSD,Castle Downs Branch,16,The husband's secret / Liane Moriarty,Moriarty Liane,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLCSD,Castle Downs Branch,15,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLCSD,Castle Downs Branch,14,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCSD,Castle Downs Branch,13,Obsession in death / J. D. Robb,Robb J D,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCSD,Castle Downs Branch,13,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLCSD,Castle Downs Branch,14,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCSD,Castle Downs Branch,14,Big little lies / Liane Moriarty,Moriarty Liane,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20little%20lies
EPLCSD,Castle Downs Branch,14,Obsession in death / J. D. Robb,Robb J D,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCSD,Castle Downs Branch,17,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLCSD,Castle Downs Branch,17,The husband's secret / Liane Moriarty,Moriarty Liane,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLCSD,Castle Downs Branch,18,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCSD,Castle Downs Branch,23,Who can jump? / Sebastien Braun. --,Braun Sebastien,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=who%20can%20jump%3F
EPLCSD,Castle Downs Branch,23,The maze runner / James Dashner,Dashner James,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCSD,Castle Downs Branch,42,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCSD,Castle Downs Branch,38,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCSD,Castle Downs Branch,23,The maze runner / James Dashner,Dashner James,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCSD,Castle Downs Branch,23,Who can jump? / Sebastien Braun. --,Braun Sebastien,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=who%20can%20jump%3F
EPLCSD,Castle Downs Branch,20,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLCSD,Castle Downs Branch,18,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCSD,Castle Downs Branch,17,The husband's secret / Liane Moriarty,Moriarty Liane,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLCSD,Castle Downs Branch,15,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCSD,Castle Downs Branch,14,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLCSD,Castle Downs Branch,14,Big little lies / Liane Moriarty,Moriarty Liane,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20little%20lies
EPLCSD,Castle Downs Branch,13,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLCSD,Castle Downs Branch,12,Gray Mountain / John Grisham,Grisham John,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCSD,Castle Downs Branch,37,The girl on the train / Paula Hawkins,Hawkins Paula,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCSD,Castle Downs Branch,24,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLCSD,Castle Downs Branch,24,The maze runner / James Dashner,Dashner James,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCSD,Castle Downs Branch,18,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCSD,Castle Downs Branch,16,The husband's secret / Liane Moriarty,Moriarty Liane,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLCSD,Castle Downs Branch,15,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCSD,Castle Downs Branch,14,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
