Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLGMU,MacEwan University,2,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLGMU,MacEwan University,2,Neil Patrick Harris : choose your own autobiography / Neil Patrick Harris ; as unshredded and pasted back together by David Javerbaum,Harris Neil Patrick,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=neil%20patrick%20harris
EPLGMU,MacEwan University,2,Funny girl / Nick Hornby,Hornby Nick,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=funny%20girl%20/
EPLGMU,MacEwan University,2,Etta and Otto and Russell and James / Emma Hooper,Hooper Emma,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=etta%20and%20otto
EPLGMU,MacEwan University,1,Breakaway / Jeff Hirsch,Hirsch Jeff,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=breakaway%20/%20jeff
EPLGMU,MacEwan University,1,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLGMU,MacEwan University,1,"The fastdiet : lose weight, stay healthy, and live longer with the simple secret of intermittent fasting / Michael Mosley, Mimi Spencer. --",Mosley Michael,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20fastdiet%20%3A
EPLGMU,MacEwan University,1,Burial rites : a novel / Hannah Kent. --,Kent Hannah,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=burial%20rites%20%3A
EPLGMU,MacEwan University,1,Compelling people : the hidden qualities that make us influential / John Neffinger and Matthew Kohut. --,Neffinger John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=compelling%20people%20%3A
EPLGMU,MacEwan University,1,"Momo, or, The curious story about the time thieves and the child who returned the people's stolen time / Michael Ende ; translated by Lucas Zwirner ; drawings by Marcel Dzama. --",Ende Michael,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=momo%2C%20or%2C%20the
EPLGMU,MacEwan University,1,We are all completely beside ourselves / Karen Joy Fowler. --,Fowler Karen Joy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=we%20are%20all
EPLGMU,MacEwan University,1,"Momo, or, The curious story about the time thieves and the child who returned the people's stolen time / Michael Ende ; translated by Lucas Zwirner ; drawings by Marcel Dzama. --",Ende Michael,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=momo%2C%20or%2C%20the
EPLGMU,MacEwan University,1,Compelling people : the hidden qualities that make us influential / John Neffinger and Matthew Kohut. --,Neffinger John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=compelling%20people%20%3A
EPLGMU,MacEwan University,1,Burial rites : a novel / Hannah Kent. --,Kent Hannah,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=burial%20rites%20%3A
EPLGMU,MacEwan University,1,Discover Japan : experience the best of Japan / this edition written and researched by Chris Rowthorn [and others]. --,Rowthorn Chris,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=discover%20japan%20%3A
EPLGMU,MacEwan University,1,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLGMU,MacEwan University,2,Etta and Otto and Russell and James / Emma Hooper,Hooper Emma,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=etta%20and%20otto
EPLGMU,MacEwan University,2,Funny girl / Nick Hornby,Hornby Nick,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=funny%20girl%20/
EPLGMU,MacEwan University,2,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLGMU,MacEwan University,2,Neil Patrick Harris : choose your own autobiography / Neil Patrick Harris ; as unshredded and pasted back together by David Javerbaum,Harris Neil Patrick,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=neil%20patrick%20harris
EPLGMU,MacEwan University,2,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLGMU,MacEwan University,2,Etta and Otto and Russell and James / Emma Hooper,Hooper Emma,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=etta%20and%20otto
EPLGMU,MacEwan University,1,The blinding knife / Brent Weeks,Weeks Brent,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20blinding%20knife
EPLGMU,MacEwan University,1,Journey to Juno / by Ray O'Ryan ; illustrated by Colin Jack,ORyan Ray,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=journey%20to%20juno
EPLGMU,MacEwan University,1,Throne of glass / Sarah J. Maas,Maas Sarah J,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=throne%20of%20glass
EPLGMU,MacEwan University,1,"Organize your home / [editor, Samantha S. Thorpe]",Thorpe Samantha S,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=organize%20your%20home
EPLGMU,MacEwan University,1,"Garden anywhere : how to grow gorgeous container gardens, herb gardens, kitchen gardens, and more, without spending a fortune / Alys Fowler",Fowler Alys,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=garden%20anywhere%20%3A
EPLGMU,MacEwan University,1,Compelling people : the hidden qualities that make us influential / John Neffinger and Matthew Kohut. --,Neffinger John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=compelling%20people%20%3A
EPLGMU,MacEwan University,1,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLGMU,MacEwan University,1,We are all completely beside ourselves / Karen Joy Fowler. --,Fowler Karen Joy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=we%20are%20all
EPLGMU,MacEwan University,2,Mindset : the new psychology of success / Carol S. Dweck,Dweck Carol S,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=mindset%20%3A%20the
EPLGMU,MacEwan University,2,How to build a girl / Caitlin Moran,Moran Caitlin,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=how%20to%20build
EPLGMU,MacEwan University,2,The girl on the train / Paula Hawkins,Hawkins Paula,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLGMU,MacEwan University,2,Etta and Otto and Russell and James / Emma Hooper,Hooper Emma,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=etta%20and%20otto
EPLGMU,MacEwan University,2,A death in the family / Karl Ove Knausgaard ; translated from the Norwegian by Don Bartlett,Knausgeard Karl Ove,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=a%20death%20in
EPLGMU,MacEwan University,1,The blinding knife / Brent Weeks,Weeks Brent,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20blinding%20knife
EPLGMU,MacEwan University,1,How the light gets in / Louise Penny. --,Penny Louise,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=how%20the%20light
EPLGMU,MacEwan University,1,Burial rites : a novel / Hannah Kent. --,Kent Hannah,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=burial%20rites%20%3A
EPLGMU,MacEwan University,1,Compelling people : the hidden qualities that make us influential / John Neffinger and Matthew Kohut. --,Neffinger John,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=compelling%20people%20%3A
EPLGMU,MacEwan University,1,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLGMU,MacEwan University,2,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLGMU,MacEwan University,2,How to build a girl / Caitlin Moran,Moran Caitlin,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=how%20to%20build
EPLGMU,MacEwan University,2,The girl on the train / Paula Hawkins,Hawkins Paula,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLGMU,MacEwan University,2,Mindset : the new psychology of success / Carol S. Dweck,Dweck Carol S,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=mindset%20%3A%20the
EPLGMU,MacEwan University,2,Etta and Otto and Russell and James / Emma Hooper,Hooper Emma,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=etta%20and%20otto
EPLGMU,MacEwan University,2,Rick Steves Ireland 2015 / Rick Steves & Pat O'Connor,Steves Rick,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=rick%20steves%20ireland
EPLGMU,MacEwan University,1,The cuckoo's calling / Robert Galbraith,Galbraith Robert,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cuckoo%27s%20calling
EPLGMU,MacEwan University,1,"""They say/I say"" : the moves that matter in academic writing : with readings / Gerald Graff, Cathy Birkenstein, Russel Durst",Graff Gerald,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=%22they%20say/i%20say%22
EPLGMU,MacEwan University,1,The 100-year-old man who climbed out the window and disappeared / Jonas Jonasson ; translated from the original Swedish by Rod Bradbury,Jonasson Jonas,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20100-year-old%20man
EPLGMU,MacEwan University,1,Compelling people : the hidden qualities that make us influential / John Neffinger and Matthew Kohut. --,Neffinger John,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=compelling%20people%20%3A
EPLGMU,MacEwan University,1,The 100-year-old man who climbed out the window and disappeared / Jonas Jonasson ; translated from the original Swedish by Rod Bradbury,Jonasson Jonas,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20100-year-old%20man
EPLGMU,MacEwan University,2,Etta and Otto and Russell and James / Emma Hooper,Hooper Emma,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=etta%20and%20otto
EPLGMU,MacEwan University,1,"""They say/I say"" : the moves that matter in academic writing : with readings / Gerald Graff, Cathy Birkenstein, Russel Durst",Graff Gerald,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=%22they%20say/i%20say%22
