Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLHIG,Highlands Branch,7,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLHIG,Highlands Branch,6,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLHIG,Highlands Branch,5,Leaving time : a novel / Jodi Picoult,Picoult Jodi,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLHIG,Highlands Branch,5,The husband's secret / Liane Moriarty,Moriarty Liane,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLHIG,Highlands Branch,5,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLHIG,Highlands Branch,5,Station eleven / Emily St. John Mandel,Mandel Emily St John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=station%20eleven%20/
EPLHIG,Highlands Branch,4,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLHIG,Highlands Branch,4,Sweetland : a novel / Michael Crummey,Crummey Michael,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sweetland%20%3A%20a
EPLHIG,Highlands Branch,4,Pokaemon : essential handbook : the need-to-know stats and facts on over 640 Pokaemon,,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=pokaemon%20%3A%20essential
EPLHIG,Highlands Branch,4,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLHIG,Highlands Branch,4,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLHIG,Highlands Branch,4,Sweetland : a novel / Michael Crummey,Crummey Michael,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sweetland%20%3A%20a
EPLHIG,Highlands Branch,4,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLHIG,Highlands Branch,5,Station eleven / Emily St. John Mandel,Mandel Emily St John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=station%20eleven%20/
EPLHIG,Highlands Branch,5,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLHIG,Highlands Branch,5,Pokaemon : essential handbook : the need-to-know stats and facts on over 640 Pokaemon,,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=pokaemon%20%3A%20essential
EPLHIG,Highlands Branch,5,Fifty shades of Grey / E.L. James,James E L,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLHIG,Highlands Branch,6,Leaving time : a novel / Jodi Picoult,Picoult Jodi,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLHIG,Highlands Branch,6,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLHIG,Highlands Branch,6,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLHIG,Highlands Branch,7,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLHIG,Highlands Branch,6,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLHIG,Highlands Branch,6,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLHIG,Highlands Branch,6,Pokaemon : essential handbook : the need-to-know stats and facts on over 640 Pokaemon,,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=pokaemon%20%3A%20essential
