Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLJPL,Jasper Place Branch,56,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLJPL,Jasper Place Branch,25,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLJPL,Jasper Place Branch,18,The Rosie effect / Graeme Simsion,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLJPL,Jasper Place Branch,17,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLJPL,Jasper Place Branch,16,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLJPL,Jasper Place Branch,14,Promise  / by Robert  Crais,Crais Robert,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=promise%20/%20by
EPLJPL,Jasper Place Branch,14,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLJPL,Jasper Place Branch,13,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLJPL,Jasper Place Branch,13,Being mortal : medicine and what matters in the end / Atul Gawande,Gawande Atul,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=being%20mortal%20%3A
EPLJPL,Jasper Place Branch,13,A spool of blue thread / Anne Tyler,Tyler Anne,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=a%20spool%20of
