Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLMCN,,4,Brooklyn : a novel / Colm Toibin,TOIBIN COLM,03/14/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=brooklyn%20%3A%20a
EPLMCN,,1,Apple / Nikki McClure,MCCLURE NIKKI,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=apple%20/%20nikki
EPLMCN,,1,"Simple crocheting : a complete how-to-crochet workshop with 20 projects / Erika Knight ; [photographer, Yuki Sugiura]. --",KNIGHT ERIKA,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=simple%20crocheting%20%3A
EPLMCN,,1,An apple's life / Nancy Dickmann,DICKMANN NANCY,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=an%20apple%27s%20life
EPLMCN,,1,The giant encyclopedia of preschool activities for three-year-olds / edited by Kathy Charner and Maureen Murphy,CHARNER KATHY,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20giant%20encyclopedia
EPLMCN,,1,Pirates / Philip Steele,STEELE PHILIP,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=pirates%20/%20philip
EPLMCN,,1,Preschool day hooray! / by Linda Leopold Strauss ; illustrated by Hiroe Nakata. --,STRAUSS LINDA LEOPOLD,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=preschool%20day%20hooray%21
EPLMCN,,1,Curious George. Apple harvest / adaptation by Lynne Polvino,POLVINO LYNNE,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=curious%20george.%20apple
EPLMCN,,1,"Thomas' snowsuit / story, Robert Munsch ; art, Michael Martchenko",MUNSCH ROBERT N,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=thomas%27%20snowsuit%20/
EPLMCN,,1,Counting on fall / written by Lizann Flatt ; illustrated by Ashley Barron,FLATT LIZANN,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=counting%20on%20fall
