Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLWHP,,8,Grey / E L James,James E L,09/14/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=grey%20/%20e
EPLWHP,,15,Me before you / Jojo Moyes,MOYES JOJO,06/27/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=me%20before%20you
EPLWHP,,4,The crown / Keira Cass,CASS KIERA,06/27/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20crown%20/
EPLWHP,,1,Big Nate's greatest hits / by Lincoln Peirce,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate%27s%20greatest
EPLWHP,,1,Genius mode / Lincoln Peirce. --,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=genius%20mode%20/
EPLWHP,,1,Big Nate makes the grade / by Lincoln Peirce,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate%20makes
EPLWHP,,1,Big Nate flips out / Lincoln Peirce,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate%20flips
EPLWHP,,1,Big Nate. Say good-bye to dork city / by Lincoln Peirce,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate.%20say
EPLWHP,,1,Big Nate : here goes nothing / Lincoln Peirce. --,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate%20%3A
EPLWHP,,1,Clean eating freezer meals / Tiffany McCauley,McCauley Tiffany,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=clean%20eating%20freezer
EPLWHP,,1,Lie Tree  / by Frances  Hardinge,Hardinge Frances,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=lie%20tree%20/
EPLWHP,,1,Stargirl / Jerry Spinelli,Spinelli Jerry,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=stargirl%20/%20jerry
