Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLWMC,Whitemud Crossing Branch,52,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLWMC,Whitemud Crossing Branch,41,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLWMC,Whitemud Crossing Branch,41,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLWMC,Whitemud Crossing Branch,40,The maze runner / James Dashner,Dashner James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLWMC,Whitemud Crossing Branch,38,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLWMC,Whitemud Crossing Branch,38,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLWMC,Whitemud Crossing Branch,36,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLWMC,Whitemud Crossing Branch,31,Mightier than the sword / Jeffrey Archer,Archer Jeffrey,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=mightier%20than%20the
EPLWMC,Whitemud Crossing Branch,31,A spool of blue thread / Anne Tyler,Tyler Anne,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=a%20spool%20of
EPLWMC,Whitemud Crossing Branch,118,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLWMC,Whitemud Crossing Branch,112,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLWMC,Whitemud Crossing Branch,32,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLWMC,Whitemud Crossing Branch,32,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLWMC,Whitemud Crossing Branch,33,The Rosie effect / Graeme Simsion,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLWMC,Whitemud Crossing Branch,35,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLWMC,Whitemud Crossing Branch,36,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLWMC,Whitemud Crossing Branch,41,Gray Mountain / John Grisham,Grisham John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLWMC,Whitemud Crossing Branch,41,The maze runner / James Dashner,Dashner James,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLWMC,Whitemud Crossing Branch,43,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLWMC,Whitemud Crossing Branch,56,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLWMC,Whitemud Crossing Branch,57,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLWMC,Whitemud Crossing Branch,46,Gray Mountain / John Grisham,Grisham John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLWMC,Whitemud Crossing Branch,40,The maze runner / James Dashner,Dashner James,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLWMC,Whitemud Crossing Branch,39,As chimney sweepers come to dust / Alan Bradley,Bradley C Alan,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLWMC,Whitemud Crossing Branch,39,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLWMC,Whitemud Crossing Branch,36,The Rosie effect / Graeme Simsion,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLWMC,Whitemud Crossing Branch,35,Yes please / Amy Poehler,Poehler Amy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLWMC,Whitemud Crossing Branch,35,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
